id,name,artist_ids,artists,aritsts_mean_popularity,artists_followers_combined,release_date,explicit,key,mode,loudness,tempo,time_signature,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity
2O0Aa7WEWaGqdpEMhwiW2s,Hakuna Matata,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,1,0,-9.587,155.562,4,92692,0.566,0.545,0.245,0.176,0.0,0.0858,0.0631,41
5MDTrBpAZ2Nme9l5OfKRXA,Воскресенье,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,6,0,-7.736,138.98,4,113957,0.725,0.479,0.124,0.0781,0.0,0.125,0.271,30
4g0Hkxjz9gwh20t08ymiWn,Ножевое,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,10,1,-7.213,139.392,4,105324,0.631,0.524,0.179,0.0699,0.0,0.463,0.376,31
7v4430cmO24f5R6JnHnMQE,У нас,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,5,0,-9.35,68.412,4,102609,0.468,0.432,0.129,0.0395,4.6e-05,0.157,0.134,32
2CEIHmi6yDw0wmg30p8T4b,OXYCODONE (BONUSTRACK),"['3KtiWEUyKC5lgHedcN6y6C', '3zd0G5yKn8uesJDWzkAnDD']","['MAYOT', 'FENDIGLOCK']",50.0,251383.65,2022-12-23,1,11,1,-8.219,135.945,4,170294,0.686,0.514,0.152,0.303,0.0,0.0972,0.2,33
2tqNV3xcL1XhU04ZesAB23,ТЕХНИКА (INTRO),"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,3,1,-8.654,129.888,4,162462,0.689,0.435,0.272,0.0295,0.0,0.296,0.189,27
3IMcAmzAV2ohGeDHoVLMaK,BLESSED,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,0,-7.865,120.196,4,146000,0.749,0.659,0.341,0.422,0.0,0.359,0.581,34
3p8tHCU17MAytmsQXyt9nd,BIG PUN,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,6,0,-8.749,136.914,4,134927,0.739,0.398,0.288,0.0073,8.71e-06,0.254,0.237,27
46IODYsVLqg4U6TvgQID8k,ПЕРВЫЕ,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,0,1,-8.085,117.067,4,97949,0.743,0.497,0.0623,0.0472,4.29e-05,0.0902,0.0707,23
7oDrS5BBiHWWypsiI5GeKf,MIKE AMIRI,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt', '7rI2IkMnu8x7i2UGm0C101']","['MAYOT', 'SEEMEE', 'SIDODGI DUBOSHIT']",45.0,293632.14,2022-06-24,1,2,1,-6.989,125.952,4,190476,0.76,0.639,0.338,0.0695,0.0,0.345,0.351,28
6OicDiLSedwa6ukvVGbvtZ,2>1,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,1,-6.592,141.213,4,166809,0.669,0.582,0.188,0.28,0.0,0.138,0.272,23
5v6qHkZIj3mu8ArYo3ktmT,ГЕНЕРАЛ ТАЙЛАНДА,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,11,1,-8.98,129.839,4,147692,0.55,0.447,0.336,0.112,0.0,0.346,0.34,26
025GreEw2tdcFl1CEYwhWS,ПАШЕМ,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,1,-10.923,119.912,4,168000,0.83,0.374,0.218,0.0787,0.0,0.0757,0.257,24
7MWtm4FRDwXb8sRdi3dCUA,ТРИМ,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt', '1H1zBr7TXFwTwsHU5kX9gW']","['MAYOT', 'SEEMEE', 'OG Buda']",56.0,664195.8899999999,2022-06-24,1,1,1,-10.594,71.953,4,133333,0.716,0.299,0.339,0.0552,5.87e-05,0.201,0.19,29
5VpAmO0eFBHRDybJUmX3Fn,НА ВОЛНЕ,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,2,1,-9.623,86.785,1,131321,0.548,0.471,0.352,0.442,2.67e-06,0.0879,0.385,26
3HFN9mGY3VnEYZodirUqTg,MONEY TWERK,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,1,-8.674,135.116,4,160000,0.726,0.451,0.336,0.0189,1.76e-05,0.157,0.165,22
